Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country,Fuel,Owner,Rank,Lat,Long
Bełchatów,37178165,36886458,37051920,34941622,37646220,38348069,32741604,30088805,33161232,35064004,Poland,Lignite,PGE,1,51.268805,19.335242
Neurath,33254389,32441213,32069617,31321639,29900372,32156311,22596980,18671292,22075757,24223327,Germany,Lignite,RWE,2,51.0353164,6.6152797
Boxberg,19153179,18700192,19437501,18571397,19135707,19000819,18653543,15385089,15533773,19127966,Germany,Lignite,EPH,3,51.5462637,14.3822276
Niederaußem,29474441,27248790,27330233,24831148,27173752,25926554,18425447,11877613,16105086,16995539,Germany,Lignite,RWE,4,50.9900859,6.667802
Kozienice,10230491,10960698,11393513,12006243,12115069,14069876,14876558,13779277,15848600,15532560,Poland,Hard Coal,ENEA,5,51.6589652,21.4835545
Jänschwalde,25395582,24196146,23325104,23756337,23626776,22807073,17613703,13649542,15183517,15312823,Germany,Lignite,EPH,6,51.8512162,14.4106654
Weisweiler,18661627,16854243,18139249,18745560,18945349,16786258,13297450,11473822,14490547,14926309,Germany,Lignite,RWE,7,50.8378273,6.3199342
Lippendorf,11728509,11904182,10293959,10781907,11376121,11711105,8943673,8272543,11051209,11911240,Germany,Lignite,EPH,8,51.206164,12.3810647
Turów,9994790,8140101,7595544,7838244,7108058,6892857,5521711,5806624,10193504,11216410,Poland,Lignite,PGE,9,50.9456692,14.9081164
Maritsa East 2,9459009,10291822,11293658,9645325,10549027,9574047,7874098,4292307,6673429,10926444,Bulgaria,Lignite,Bulgarian Energy Holding (BEH),10,42.2051091,24.1975884
Schwarze Pumpe,11283451,11582879,12244201,12199320,11386251,12374048,10478943,10285717,11834111,9570636,Germany,Lignite,EPH,11,51.5351252,14.3540693
Opole,6321343,6422060,5821226,5917008,6278862,7458645,7023261,9698668,10737219,9112067,Poland,Hard Coal,PGE,12,50.756198,17.87436
Brindisi Sud,11809184,11972979,13112244,8275345,6485120,5477190,4562532,3706357,3855797,7353276,Italy,Hard Coal,Enel,13,40.5444849,17.9469496
ContourGlobal Maritsa East 3,3481176,4113603,5759680,4691756,5428080,4886646,5703965,5312942,6377280,7131567,Bulgaria,Lignite,ContourGlobal,14,42.6918831,23.3535311
Polaniec,5566819,6118214,6299450,7733638,7029514,8219329,6751791,4555879,6029813,7088659,Poland,Hard Coal,ENEA,15,50.433744,21.3338836
Mannheim,6750151,6185024,7316094,7871690,6852080,6741030,4922249,4179128,5004399,5971744,Germany,Hard Coal,Großkraftwerk Mannheim Aktiengesellschaft,16,49.4469235,8.4923937
Pocerady,5575286,4805214,5334395,6479355,6241411,6142574,6009857,5811107,5389507,5879807,Czechia,Lignite,CEZ Group,17,50.4180537,13.6874593
Agios Dimitrios,13105386,11810688,10558256,9050119,8936672,9226694,6841570,3869177,4537750,5867033,Greece,Lignite,ΔΕΗ,18,40.2969234,21.7945046
Torrevaldaliga Nord,9726013,10892368,10736213,10181950,9747838,8081026,4505225,3847044,4121013,5379086,Italy,Hard Coal,Enel,19,42.1184571,11.770036
Knippegroen (blast furnace gas),4649964,4362139,4568881,4631822,5213209,4642347,5083889,3879477,3598491,4958747,Belgium,Other Fossil Fuel,ENGIE,20,51.1570477,3.8093713
Karlsruhe,3030086,3621329,3874679,2985790,3841547,3702300,2607039,2133670,4156873,4764061,Germany,Hard Coal,EnBW Energie Baden-Württemberg AG,21,49.0140614,8.3063734
Eemshaven,55431,3085211,6293776,8311407,7587197,7968947,5389580,2528618,5306014,4717756,Netherlands,Hard Coal,RWE,22,53.4390734,6.8617562
AES Galabovo,3359813,3030493,4187675,3717339,4184127,4037871,4234815,3804299,4429287,4673387,Bulgaria,Lignite,AES,23,42.1357845,25.8651308
Abono,6863160,6785247,7545959,5536720,8190417,7075973,4854228,3550248,5175651,4567343,Spain,Hard Coal,EDP,24,43.5647589,-5.7183006
Chvaletice,3020820,3763084,3413197,2285694,3042731,4360766,3715409,2242402,3398295,4555826,Czechia,Lignite,Severní Energetická a.s.,25,50.0293085,15.4498576
Schkopau,5667523,5530643,5351933,5132962,5502113,6058441,3773318,2970535,4409079,4387507,Germany,Lignite,Uniper,26,51.4010315,11.9488631
Jaworzno 3,7141410,4831922,5389789,5481777,6921290,5462355,4576575,3489652,4531772,4270740,Poland,Hard Coal,Tauron,27,50.2030465,19.2051617
DK6 ,3695124,3939329,4148900,4298277,5009260,4502154,4608124,3885117,4441661,3954748,France,Gas,ENGIE,28,51.0482216,2.3284088
Velsen (blast furnace gas),3851617,3984095,4053148,3633608,3975578,3768890,3875534,3418661,4026054,3911507,Netherlands,Other Fossil Fuel,Vattenfall,29,52.4715238,4.6343695
Eesti Elektrijaam,10667854,9683037,7080114,7938499,8357064,7758535,3429357,1650070,2607958,3848636,Estonia,Oil,Eesti Energia AS,30,59.272913,27.8948767
Datteln,1532708,278318,42222,35153,187895,32103,53504,1970002,3815258,3823696,Germany,Hard Coal,Uniper,31,51.62842,7.33092
Taranto (blast furnace gas),5663609,6622697,4804006,5988650,4968764,4693674,4351677,3442085,4405242,3745729,Italy,Other Fossil Fuel,ArcelorMittal,32,40.4919978,17.2147064
Rybnik,8385181,7246717,6548392,7050817,6484111,5249573,4357483,2813803,5070085,3599582,Poland,Hard Coal,PGE,33,50.1338947,18.5359341
Hallendorf (blast furnace gas),3319436,3591278,3133447,3396232,3323278,3528583,3453216,3124361,3639988,3550995,Germany,Other Fossil Fuel,Salzgitter Flachstahl GmbH,34,52.1610603,10.4309086
Prunerov,4859038,4478935,4914915,5609842,4954321,4538392,5128437,3435526,3494895,3522951,Czechia,Lignite,CEZ,35,50.3759918,13.2713221
Maasvlakte,6677210,6089869,5895070,5950127,7281563,4866236,2555625,3391680,3927590,3516932,Netherlands,Hard Coal,Uniper,36,51.9533451,4.0232941
Matra,6332911,6420588,6363197,6483882,5770589,5245773,4496752,4193652,3472486,3459855,Hungary,Lignite,RWE,37,47.793754,20.0493087
Rovinari,4291363,4469942,5412542,5460945,5782942,5191433,4628600,3104257,3833007,3441249,Romania,Lignite,CE Oltenia SA,38,44.9083222,23.1400742
Tusimice,4554086,4613958,4658430,4726561,4252928,4418179,4281574,3729131,3399410,3393892,Czechia,Lignite,CEZ,39,50.3809443,13.3362428
Zakład Wytwarzania Nowa (blast furnace gas),2728049,3368315,3668708,3583418,3467473,3339922,3298900,3516003,3483560,3168359,Poland,Other Fossil Fuel,ArcelorMittal/Tauron,40,50.3455391,19.2690252
Scholven/Buer,10221138,8808734,4593385,4242313,4300742,4279504,4063828,3448243,3090611,3114331,Germany,Hard Coal,Uniper,41,51.5970045,7.004523
Luenen-Stummhafen,2806533,3674288,2078468,3428828,2647439,3185740,2712497,1329736,3071500,3111145,Germany,Hard Coal,Trianel Group,42,51.612515,7.4652485
Ledvice IV,1701712,1117278,708564,585054,466649,515274,223411,535238,3781199,3046395,Czechia,Lignite,CEZ,43,50.0433092,14.4388741
Fiume Santo,3488407,3187814,2404218,2534826,3513929,3159654,3318055,3082912,2391215,2943816,Italy,Hard Coal,EPH,44,40.7331166,8.5481588
Siekierki,3287897,3156409,2842416,2969659,3047184,3127572,2961052,2731319,3101120,2939311,Poland,Hard Coal,PGNiG,45,52.1925516,21.0886322
Fusina,4427885,4838368,5779411,4666666,3682848,3556557,1979131,441932,1007682,2872828,Italy,Hard Coal,Enel,46,45.4327856,12.2464517
Huckingen (blast furnace gas),4061657,3974568,3589568,2898255,3221175,2765043,2680343,2351848,3173542,2861874,Germany,Other Fossil Fuel,RWE,47,51.3703495,6.7266738
Duisburg-Walsum,3309313,4627648,4307843,4796896,3125023,3321056,3087344,2062745,2085544,2775858,Germany,Hard Coal,STEAG GmbH,48,51.526775,6.7184471
Laziska,3977321,3445336,3784947,3703360,3879920,3154175,3026691,1773839,2673905,2741850,Poland,Hard Coal,Tauron,49,50.1314565,18.8459864
Ostroleka,2823847,2934580,2017491,2300685,2320639,2271776,1849931,1476893,2329460,2739890,Poland,Hard Coal,Energa,50,53.1043038,21.6131539
Płock CCGT,2752906,2564662,2912920,2942060,2904933,2653157,2588426,2612010,2647189,2661471.82,Poland,Gas,Orlen Group,51,52.5887593,19.655524
Sostanj,4362082,3530977,3791039,4148697,4073442,3927162,3817347,3760438,3375040,2660753,Slovenia,Lignite,HSE,52,46.3740244,15.0514762
Moneypoint,3889217,3786287,4520902,4415895,3461942,1959530,664162,879172,3228756,2652354,Ireland,Hard Coal,ESB Group,53,52.6070026,-9.42428
Stabilimento di Ferrera Erbognone,2425683,2503342,2632021,2752418,2831226,2829740,2451557,2192974,1986653,2551047,Italy,Gas,ENI,54,45.1114029,8.8608282
Dolna Odra,4839316,4441563,4691837,4336723,3849980,3480875,2406243,2218933,2269558,2518845,Poland,Hard Coal,PGE,55,53.2070295,14.4653167
Maasvlakte New,183009,2151686,2784081,3188127,3436408,3211025,2211747,16978,1849985,2490621,Netherlands,Hard Coal,ENGIE,56,51.9440088,4.0634699
ArcelorMittal Bremen (blast furnace gas),2185868,2713278,2515126,2845273,2322631,2481393,2463056,1751452,2519316,2473406,Germany,Other Fossil Fuel,ArcelorMittal Bremen GmbH,57,53.139791,8.7120512
Duisburg Hamborn (blast furnace gas),3026552,3021687,3183100,4396101,3625702,3556180,2286362,2214436,3105846,2470829,Germany,Other Fossil Fuel,ThyssenKrupp Steel Europe AG,58,51.4913158,6.7408265
Stabilimento di Brindisi,2135679,1982785,2091170,2371378,2426577,2432711,2552877,2587649,2622785,2428705,Italy,Gas,ENI,59,40.6304046,17.9567946
Turceni,4169782,4476006,4454326,4159951,4429457,4069124,3296552,2238437,2400383,2425145,Romania,Lignite,CE Oltenia SA,60,44.674076,23.374199
Steel Kosice,,,,,3210899,3310057,2451745,2218053,3115335,2424065,Slovakia,Other Fossil Fuel,Ferroenergy s.r.o.,61,48.6228046,21.1924367
Patnow II,2532137,2488611,2350415,2027837,2605436,2454232,2450404,2402875,2207942,2241205,Poland,Lignite,ZEPAK,62,52.3047997,18.2318854
Jaworzno 2,,,,,,,0,217472,1478110,2176044,Poland,Hard Coal,Tauron,63,50.2117014,19.2257322
Staudinger,2561945,900297,2182690,2427352,1889339,1583274,1151748,924225,1012282,2094305,Germany,Hard Coal,Uniper,64,50.0877398,8.9564233
Hamborn Block 5 (blast furnace gas),2681646,2808185,3270199,2559445,2832910,2587692,3143109,2468646,2406635,2066398,Germany,Other Fossil Fuel,thyssenkrupp AG,65,51.4913158,6.7408265
Bergkamen,3471635,2945802,2744777,2823880,1639651,1586512,704134,348234,849908,1989681,Germany,Hard Coal,STEAG GmbH,66,51.6388949,7.6164638
EAC Vasilikos,1405691,1674982,1807252,1926291,1814494,1858807,2043605,1590057,1894022,1946384,Cyprus,Oil,Electricity Authority of Cyprus,67,34.7022123,33.0564103
Priolo Gargallo,3111732,2677710,1929216,2284352,1944689,1795868,1702483,1679929,207880,1915412,Italy,Oil,ERG Group,68,37.1551993,15.1913663
Heilbronn,4132820,3284784,3178511,2388302,2394697,2712379,1338801,637633,2110585,1914021,Germany,Hard Coal,EnBW Energie Baden-Württemberg AG,69,49.17108,9.2079503
Kladno,1595278,1898636,1913422,2055719,1880986,1938676,1832446,1750027,1744353,1890018,Czechia,Lignite,Alpiq Generation,70,50.1523196,14.1254808
Duisburg Hamborn - heat,1990393,1901911,2204317,2070524,2001687,1948081,1999936,1976698,1481644,1872039,Germany,Other Fossil Fuel,ThyssenKrupp Steel Europe AG,71,51.4913158,6.7408265
Granadilla,1734852,1811929,1765415,1814723,1913517,1869570,1755493,1719243,1737194,1857529,Spain,Oil,"Unión Eléctrica de Canarias Generación, S.A.U.",72,28.1222699,-16.5768911
Zeran,2488481,2273446,2324804,2303302,2339049,2224942,2171620,2096514,2090497,1844832,Poland,Hard Coal,PGNiG,73,52.2930197,20.9985763
