sep=;
country_or_region;year;variable;generation_twh
World;2000;Bioenergy;152.08
World;2000;Clean;5378.71
World;2000;Coal;5749.92
World;2000;Fossil;9717.7
World;2000;Gas;2699.79
World;2000;Hydro;2622.75
World;2000;Nuclear;2521.93
World;2000;Other Fossil;1267.99
World;2000;Other Renewables;49.65
World;2000;Solar;1.08
World;2000;Wind;31.22
World;2000;Wind and solar;32.3
World;2001;Bioenergy;146.02
World;2001;Clean;5389.26
World;2001;Coal;5829.66
World;2001;Fossil;9925.71
World;2001;Gas;2851.32
World;2001;Hydro;2562.04
World;2001;Nuclear;2591.73
World;2001;Other Fossil;1244.73
World;2001;Other Renewables;49.85
World;2001;Solar;1.39
World;2001;Wind;38.23
World;2001;Wind and solar;39.62
World;2002;Bioenergy;158.76
World;2002;Clean;5504.98
World;2002;Coal;6092.71
World;2002;Fossil;10365.69
World;2002;Gas;3036.27
World;2002;Hydro;2603.71
World;2002;Nuclear;2637.17
World;2002;Other Fossil;1236.71
World;2002;Other Renewables;51.42
World;2002;Solar;1.72
World;2002;Wind;52.2
World;2002;Wind and solar;53.92
World;2003;Bioenergy;170.51
World;2003;Clean;5474.6
World;2003;Coal;6519.09
World;2003;Fossil;10955.65
World;2003;Gas;3164.96
World;2003;Hydro;2604.07
World;2003;Nuclear;2581.16
World;2003;Other Fossil;1271.6
World;2003;Other Renewables;53.31
World;2003;Solar;2.12
World;2003;Wind;63.43
World;2003;Wind and solar;65.55
World;2004;Bioenergy;186.8
World;2004;Clean;5829.96
World;2004;Coal;6744.75
World;2004;Fossil;11395.08
World;2004;Gas;3405.11
World;2004;Hydro;2797.91
World;2004;Nuclear;2701.63
World;2004;Other Fossil;1245.22
World;2004;Other Renewables;55.33
World;2004;Solar;2.79
World;2004;Wind;85.5
World;2004;Wind and solar;88.29
World;2005;Bioenergy;208.7
World;2005;Clean;5974.08
World;2005;Coal;7110.7
World;2005;Fossil;11951.8
World;2005;Gas;3583.16
World;2005;Hydro;2899.96
World;2005;Nuclear;2700.72
World;2005;Other Fossil;1257.94
World;2005;Other Renewables;56.32
World;2005;Solar;3.92
World;2005;Wind;104.46
World;2005;Wind and solar;108.38
World;2006;Bioenergy;221.39
World;2006;Clean;6159.07
World;2006;Coal;7505.8
World;2006;Fossil;12468.76
World;2006;Gas;3808.84
World;2006;Hydro;3005.6
World;2006;Nuclear;2735.62
World;2006;Other Fossil;1154.12
World;2006;Other Renewables;57.94
World;2006;Solar;5.33
World;2006;Wind;133.19
World;2006;Wind and solar;138.52
World;2007;Bioenergy;242.5
World;2007;Clean;6210.92
World;2007;Coal;7992.31
World;2007;Fossil;13278.12
World;2007;Gas;4112.71
World;2007;Hydro;3049.19
World;2007;Nuclear;2680.02
World;2007;Other Fossil;1173.1
World;2007;Other Renewables;60.72
World;2007;Solar;7.21
World;2007;Wind;171.28
World;2007;Wind and solar;178.49
World;2008;Bioenergy;259.28
World;2008;Clean;6457
World;2008;Coal;8014.44
World;2008;Fossil;13406.99
World;2008;Gas;4240.88
World;2008;Hydro;3233.46
World;2008;Nuclear;2667.96
World;2008;Other Fossil;1151.67
World;2008;Other Renewables;64.13
World;2008;Solar;11.72
World;2008;Wind;220.45
World;2008;Wind and solar;232.17
World;2009;Bioenergy;279.99
World;2009;Clean;6501.74
World;2009;Coal;7890.11
World;2009;Fossil;13220.81
World;2009;Gas;4272.95
World;2009;Hydro;3227.8
World;2009;Nuclear;2632.02
World;2009;Other Fossil;1057.75
World;2009;Other Renewables;66.01
World;2009;Solar;19.61
World;2009;Wind;276.31
World;2009;Wind and solar;295.92
World;2010;Bioenergy;318.89
World;2010;Clean;6885.84
World;2010;Coal;8405.11
World;2010;Fossil;14183.69
World;2010;Gas;4704.34
World;2010;Hydro;3420.53
World;2010;Nuclear;2701.57
World;2010;Other Fossil;1074.24
World;2010;Other Renewables;66.84
World;2010;Solar;32.08
World;2010;Wind;345.93
World;2010;Wind and solar;378.01
World;2011;Bioenergy;335.98
World;2011;Clean;6975.78
World;2011;Coal;8863.52
World;2011;Fossil;14792.97
World;2011;Gas;4753.22
World;2011;Hydro;3482.6
World;2011;Nuclear;2586.05
World;2011;Other Fossil;1176.23
World;2011;Other Renewables;68.25
World;2011;Solar;63.09
World;2011;Wind;439.81
World;2011;Wind and solar;502.9
World;2012;Bioenergy;365.12
World;2012;Clean;7118.94
World;2012;Coal;8914.46
World;2012;Fossil;15170.44
World;2012;Gas;5033.6
World;2012;Hydro;3651.8
World;2012;Nuclear;2407.19
World;2012;Other Fossil;1222.38
World;2012;Other Renewables;69.49
World;2012;Solar;96.02
World;2012;Wind;529.32
World;2012;Wind and solar;625.34
World;2013;Bioenergy;398.05
World;2013;Clean;7446.79
World;2013;Coal;9368.91
World;2013;Fossil;15484.67
World;2013;Gas;4931.33
World;2013;Hydro;3781.05
World;2013;Nuclear;2423.73
World;2013;Other Fossil;1184.43
World;2013;Other Renewables;71.3
World;2013;Solar;131.83
World;2013;Wind;640.83
World;2013;Wind and solar;772.66
World;2014;Bioenergy;432.37
World;2014;Clean;7759.91
